,Feminino,Masculino,Total(1)
,2008 2009,2008 2009,2008 2009
"Feridos leves
<=14
15-19
20-24
25-29
30-34
35-39
40-44
45-49
50-54
55-59
60-64
65-69
70-74
>=75
Não def.","7092 7689
1028 1043
733 838
798 827
583 601
486 484
384 422
390 490
425 472
420 442
387 461
388 404
346 368
310 319
367 467
47 51","4928 4856
955 990
724 662
794 756
468 487
415 373
313 286
270 223
187 224
189 189
142 133
114 116
104 111
83 94
147 169
23 43","12025 12556
1983 2033
1459 1500
1592 1583
1052 1088
901 857
697 708
660 714
612 696
609 631
529 595
503 520
450 479
393 415
514 637
71 100"
"Total de vítimas
<=14
15-19
20-24
25-29
30-34
35-39
40-44
45-49
50-54
55-59
60-64
65-69
70-74
>=75
Não def.","7443 8033
1058 1081
771 876
838 859
606 623
513 497
407 440
416 505
442 493
437 467
407 484
409 428
373 386
328 337
390 505
48 52","5312 5236
1010 1026
780 730
868 820
500 528
442 399
330 312
301 242
197 242
207 210
155 152
125 127
112 123
95 99
166 180
24 46","12760 13280
2068 2107
1553 1606
1706 1679
1107 1151
955 896
737 752
717 748
639 735
644 677
562 637
535 555
485 509
423 438
556 686
73 104"
