,"Acidentes c/
vítimas","Vítimas
mortais","Feridos
graves",Feridos leves,"Total de
vítimas","Índice de
gravidade"
,2008 2009,2008 2009,2008 2009,2008 2009,2008 2009,2008 2009
"Atropelamento
Atrop. com fuga
Atrop. de animais
Atrop. de peões","5412 5705
426 415
61 74
4925 5216","127 126
13 8
1 0
113 118","513 487
26 29
2 2
485 456","5179 5530
400 397
67 81
4712 5052","5819 6143
439 434
70 83
5310 5626","2,3 2,2
3,1 1,9
1,6 0,0
2,3 2,3"
"Colisão
Choque em cadeia
Colisão com fuga
Outras situações
Col. c/ veic./obst.
na faixa rodagem
Colisão frontal
Colisão lateral
Colisão traseira","17380 18148
540 624
351 434
1089 1671
1133 1186
3744 3560
6941 6993
3582 3680","317 330
2 1
4 4
22 26
20 16
123 141
98 99
48 43","1204 1226
20 12
15 31
69 83
90 72
493 474
379 420
138 134","23284 24587
804 943
402 488
1378 2180
1435 1521
5578 5419
8988 9137
4699 4899","24805 26143
826 956
421 523
1469 2289
1545 1609
6194 6034
9465 9656
4885 5076","1,8 1,8
0,4 0,2
1,1 0,9
2,0 1,6
1,8 1,3
3,3 4,0
1,4 1,4
1,3 1,2"
"Despiste
C/ capotamento
C/ colisão c/ veíc.
imobil. / obstáculo
C/ transposição
separador central
C/ fuga
C/ transp. disp. de
retenção lateral
Simples","10821 11631
2595 2889
1462 1612
1141 1895
81 76
324 358
5218 4801","332 281
120 104
47 41
40 39
0 0
20 6
105 91","889 911
250 259
174 144
92 119
8 5
34 51
331 333","12864 13673
3263 3599
1751 1877
1302 2178
101 88
403 453
6044 5478","14085 14865
3633 3962
1972 2062
1434 2336
109 93
457 510
6480 5902","3,1 2,4
4,6 3,6
3,2 2,5
3,5 2,1
0,0 0,0
6,2 1,7
2,0 1,9"
Total,33613 35484,776 737,2606 2624,41327 43790,44709 47151,"2,3 2,1"
