,Vítimas mortais,Feridos graves,Feridos leves,"Total condutores
vítimas","Total condutores
intervenientes"
,2008 2009,2008 2009,2008 2009,2008 2009,2008 2009
"Veíc. ligeiro
Veíc. pesado
Velocípedes
Ciclomotores
Motociclos
Outros(1)","257 235
16 16
37 25
56 49
101 99
25 26","738 816
29 39
104 105
251 242
340 328
28 26","16297 17818
406 370
1203 1224
3147 3177
2947 2965
155 178","17292 18869
451 425
1344 1354
3454 3468
3388 3392
208 230","42248 45247
2271 2208
1414 1407
3782 3705
3650 3650
438 569"
Total,492 450,1490 1556,24155 25732,26137 27738,53803 56786
