,"Acidentes c/
vítimas","Vítimas
mortais","Feridos
graves",Feridos leves,"Total de
vítimas","Índice de
gravidade"
,2008 2009,2008 2009,2008 2009,2008 2009,2008 2009,2008 2009
"Dia
Noite
Aurora ou crep.","23641 24811
8909 9304
1035 1158","424 419
318 274
34 44","1614 1581
899 925
91 117","28913 30596
11120 11561
1260 1384","30951 32596
12337 12760
1385 1545","1,8 1,7
3,6 2,9
3,3 3,8"
Total(1),33613 35484,776 737,2606 2624,41327 43790,44709 47151,"2,3 2,1"
