,Feminino,Masculino,Total(1)
,2008 2009,2008 2009,2008 2009
"Feridos leves
<=14
15-19
20-24
25-29
30-34
35-39
40-44
45-49
50-54
55-59
60-64
65-69
70-74
>=75
Não def.","7644 8320
32 29
294 327
1105 1194
1206 1248
1209 1269
967 1133
795 903
709 717
492 563
347 374
206 260
130 138
80 77
65 83
7 5","16463 17379
166 200
1090 1082
1974 2075
2076 2028
2063 2075
1650 1750
1420 1515
1233 1313
1097 1201
901 990
758 841
694 768
586 660
737 868
18 13","24155 25732
200 229
1384 1410
3089 3271
3292 3279
3276 3346
2620 2888
2219 2420
1944 2031
1589 1765
1249 1364
965 1101
824 908
668 738
802 951
34 31"
"Total de vítimas
<=14
15-19
20-24
25-29
30-34
35-39
40-44
45-49
50-54
55-59
60-64
65-69
70-74
>=75
Não def.","7907 8570
35 35
305 345
1143 1225
1239 1270
1254 1295
991 1169
821 930
731 741
511 589
363 383
215 269
139 146
84 83
69 85
7 5","18179 19134
185 222
1200 1185
2194 2301
2312 2243
2269 2282
1815 1930
1548 1667
1357 1439
1209 1308
988 1094
826 922
765 844
665 724
826 959
20 14","26137 27738
222 257
1506 1531
3347 3528
3561 3516
3528 3579
2809 3104
2373 2599
2090 2181
1720 1898
1352 1477
1042 1192
904 992
751 808
895 1044
37 32"
