,"Acidentes c/
vítimas","Vítimas
mortais","Feridos
graves",Feridos leves,"Total de
vítimas","Índice de
gravidade"
,2008 2009,2008 2009,2008 2009,2008 2009,2008 2009,2008 2009
"2ªFeira
3ªFeira
4ªFeira
5ªFeira
6ªFeira
Sábado
Domingo","4971 5182
4574 4886
4466 5255
4875 5158
5448 5386
4837 5048
4442 4569","103 110
114 106
80 90
93 92
104 102
128 133
154 104","316 322
325 342
330 311
363 357
392 399
449 462
431 431","5995 6291
5445 5776
5247 6317
5803 6118
6723 6501
6147 6506
5967 6281","6414 6723
5884 6224
5657 6718
6259 6567
7219 7002
6724 7101
6552 6816","2,1 2,1
2,5 2,2
1,8 1,7
1,9 1,8
1,9 1,9
2,6 2,6
3,5 2,3"
Total,33613 35484,776 737,2606 2624,41327 43790,44709 47151,"2,3 2,1"
