,"Acidentes c/
vítimas","Vítimas
mortais",Feridos graves,Feridos leves,"Total de
vítimas","Índice de
gravidade"
,2008 2009,2008 2009,2008 2009,2008 2009,2008 2009,2008 2009
"Jan
Fev
Mar
Abr
Mai
Jun
Jul
Ago
Set
Out
Nov
Dez","2488 2471
2530 2381
2660 2725
2702 2881
2628 2992
2707 3078
2995 3157
2996 3189
2864 3003
3160 3363
2980 3065
2903 3179","51 60
53 42
64 52
69 59
55 56
56 56
62 79
90 74
71 75
51 69
85 58
69 57","185 173
189 171
212 233
218 197
166 234
213 184
245 269
269 270
209 192
234 245
252 227
214 229","2998 3023
3088 2894
3214 3242
3332 3543
3287 3673
3309 3914
3743 3893
3823 4063
3470 3735
3847 4107
3593 3730
3623 3973","3234 3256
3330 3107
3490 3527
3619 3799
3508 3963
3578 4154
4050 4241
4182 4407
3750 4002
4132 4421
3930 4015
3906 4259","2,0 2,4
2,1 1,8
2,4 1,9
2,6 2,0
2,1 1,9
2,1 1,8
2,1 2,5
3,0 2,3
2,5 2,5
1,6 2,1
2,9 1,9
2,4 1,8"
Total,33613 35484,776 737,2606 2624,41327 43790,44709 47151,"2,3 2,1"
