,"Acidentes c/
vítimas","Vítimas
mortais","Feridos
graves",Feridos leves,"Total de
vítimas","Índice de
gravidade"
,2008 2009,2008 2009,2008 2009,2008 2009,2008 2009,2008 2009
"00-03
03-06
06-09
09-12
12-15
15-18
18-21
21-24","1578 1680
1030 1089
3739 3999
5251 5590
5689 5997
6689 7118
6670 6885
2967 3126","67 58
59 65
80 91
89 101
99 91
132 113
151 129
99 89","186 202
148 116
252 307
300 280
404 326
482 540
545 528
289 325","2054 2098
1330 1357
4642 4938
6236 6753
6937 7387
8377 8850
8048 8512
3703 3895","2307 2358
1537 1538
4974 5336
6625 7134
7440 7804
8991 9503
8744 9169
4091 4309","4,2 3,5
5,7 6,0
2,1 2,3
1,7 1,8
1,7 1,5
2,0 1,6
2,3 1,9
3,3 2,8"
Total,33613 35484,776 737,2606 2624,41327 43790,44709 47151,"2,3 2,1"
