,Feminino,Masculino,Total(1)
,2008 2009,2008 2009,2008 2009
"Feridos leves
<=5
6-9
10-14
15-19
20-24
25-29
30-34
35-39
40-44
45-49
50-54
55-59
60-64
65-69
70-74
>=75
Não def.","2779 3034
70 74
91 116
222 223
237 280
145 160
119 131
121 131
135 139
157 142
171 234
181 194
170 178
191 179
163 192
197 227
403 430
6 4","2364 2468
151 145
169 170
226 221
163 152
114 121
79 122
98 106
114 128
125 134
126 144
114 127
108 126
136 148
150 148
177 151
303 320
11 5","5147 5502
222 219
260 286
449 444
400 432
259 281
199 253
219 237
249 267
282 276
297 378
295 321
278 304
327 327
313 340
374 378
706 750
18 9"
"Total de vítimas
<=5
6-9
10-14
15-19
20-24
25-29
30-34
35-39
40-44
45-49
50-54
55-59
60-64
65-69
70-74
>=75
Não def.","3063 3280
79 78
102 126
241 233
258 295
152 166
130 134
132 136
139 148
175 152
181 244
188 216
186 196
217 200
187 217
226 252
464 483
6 4","2745 2853
173 162
187 183
250 239
176 171
123 130
88 134
112 132
134 145
152 154
154 174
144 155
135 148
159 177
175 174
200 171
370 395
13 9","5812 6133
253 240
289 309
492 472
434 466
275 296
219 268
244 268
273 293
327 306
335 418
332 371
321 344
376 377
362 391
426 423
834 878
20 13"
