,Vítimas mortais (M) por 1 milhão de habitantes,,,,,,
,<=14,15-19,20-24,25-29,30-34,35-39,40-44
"População(1)
M/Milhão hab.","1622991
12","575353
76","631707
109","760534
89","848114
73","810382
72","784517
68"
