,Vítimas mortais,Feridos graves,Feridos leves,"Total condutores
vítimas","Total condutores
intervenientes"
,2008 2009,2008 2009,2008 2009,2008 2009,2008 2009
"< 1 ano
1 a 5 anos
6 a 10 anos
11 a 20 anos
>= 20 anos
Não definido","13 13
84 69
75 62
115 102
120 146
14 7","47 64
306 322
249 248
316 346
288 299
32 44","905 1187
5406 6427
4714 4709
6120 6012
4949 4884
192 667","965 1264
5796 6818
5038 5019
6551 6460
5357 5329
238 718","1721 2436
11333 13956
9729 10090
14338 13578
12696 11211
1486 3179"
Total(1),421 399,1238 1323,22286 23886,23945 25608,51303 54450
