,,Vítimas mortais,
,,<=14 15-19 20-24 25-29 30-34 35-39 40-44 45-49 50-54 55-59 60-64 >=65,"Total
(1)"
Peões,"2008
2009
09/08","7 2 2 3 3 5 14 10 8 9 13 58
8 2 0 5 6 7 5 8 13 4 6 64
1 0 -2 2 3 2 -9 -2 5 -5 -7 6","136
130
-6"
"Veículo
Ligeiro*","2008
2009
09/08","11 27 47 45 33 34 25 28 34 28 18 62
10 37 43 41 26 27 26 21 32 26 15 68
-1 10 -4 -4 -7 -7 1 -7 -2 -2 -3 6","393
373
-20"
"Veículo
Pesado*","2008
2009
09/08","1 0 0 1 4 0 2 1 3 3 1 1
0 1 1 2 7 3 2 5 2 2 1 1
-1 1 1 1 3 3 0 4 -1 -1 0 0","17
27
10"
Velocípede**,"2008
2009
09/08","0 1 1 1 0 3 4 2 6 1 3 15
0 1 2 0 2 2 4 2 3 1 4 4
0 0 1 -1 2 -1 0 0 -3 0 1 -11","37
25
-12"
Ciclomotor*,"2008
2009
09/08","1 1 2 4 5 8 3 3 4 5 9 17
0 2 1 4 2 1 6 4 3 2 1 24
-1 1 -1 0 -3 -7 3 1 -1 -3 -8 7","62
50
-12"
Motociclo*,"2008
2009
09/08","0 4 21 20 25 17 5 7 1 0 0 2
0 1 22 15 18 18 9 9 4 1 2 3
0 -3 1 -5 -7 1 4 2 3 1 2 1","102
102
0"
Total (2),"2008
2009
09/08","20 35 74 74 71 67 54 52 57 49 47 173
19 44 69 68 62 58 53 49 61 40 31 180
-1 9 -5 -6 -9 -9 -1 -3 4 -9 -16 7","776
737
-39"
