,Feminino,Masculino,Total(1),População*,"Total cond./
1000 hab."
,2008 2009,2008 2009,2008 2009,,
"<=14
15-19
20-24
25-29
30-34
35-39
40-44
45-49
50-54
55-59
60-64
65-69
70-74
>=75
Não def.","38 36
443 501
1872 1967
2129 2141
2306 2314
1828 2216
1593 1763
1313 1376
906 1037
649 701
392 485
234 247
128 128
105 132
28 22","198 237
1809 1760
4492 4542
4692 4653
4814 4904
4057 4271
3639 3850
3359 3399
2880 3065
2444 2637
2004 2124
1542 1744
1238 1380
1384 1580
158 98","238 273
2257 2266
6385 6516
6840 6800
7133 7226
5905 6495
5246 5624
4682 4781
3794 4105
3098 3340
2398 2612
1779 1993
1370 1509
1489 1712
1189 1534","1622991
575353
631707
760534
848114
810382
784517
764807
702705
656444
595487
513437
492055
868717
-","0
4
10
9
9
8
7
6
6
5
4
4
3
2
-"
Total,13964 15066,38710 40244,53803 56786,10627250,5
