,,,,,,,,,,,,
,Acidentes c/,,Vítimas,,Feridos,,Feridos leves,,Total de,,Índice de,
,vítimas,,mortais,,graves,,,,vítimas,,gravidade,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,2006,,,,,,,,,,
,2005,,2005,2006,2005,2006,2005,2006,2005,2006,2005,2006
,,,,,,,,,,,,
,,,,,,,,,,,,
"Dia
Noite
Aurora ou crep.","25780
10103
1057","24841
9715
1019","589
448
55","437
365
46","2190
1423
141","2103
1241
132","31506
12581
1261","30429
11882
1212","34285
14452
1457","32969
13488
1390","2,3
4,4
5,2","1,8
3,8
4,5"
Total(1),37066,35680,1094,850,3762,3483,45487,43654,50343,47987,"3,0","2,4"
,,,,,,,,,,,,
