,,,,,,,,,,,,
,Acidentes c/,,Vítimas,,Feridos,,,,Total de,,Índice de,
,,,,,,,Feridos leves,,,,,
,vítimas,,mortais,,graves,,,,vítimas,,gravidade,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,2005,2006,2005,2006,2005,2006,2005,2006,2005,2006,2005,2006
,,,,,,,,,,,,
,,,,,,,,,,,,
"Jan
Fev
Mar
Abr
Mai
Jun
Jul
Ago
Set
Out
Nov
Dez","2858
2743
2910
2712
2871
3102
3578
3415
3120
3506
3016
3235","2744
2575
2768
2627
2928
3027
3372
3398
3164
3093
2999
2985","83
106
82
74
93
87
100
92
101
101
77
98","62
60
58
70
70
58
79
88
64
66
88
87","263
285
263
280
260
316
407
396
307
358
300
327","250
273
251
277
322
292
341
357
279
294
252
295","3460
3298
3642
3302
3427
3746
4411
4364
3897
4311
3630
3999","3367
3034
3272
3313
3466
3744
4242
4360
3848
3855
3551
3602","3806
3689
3987
3656
3780
4149
4918
4852
4305
4770
4007
4424","3679
3367
3581
3660
3858
4094
4662
4805
4191
4215
3891
3984","2,9
3,9
2,8
2,7
3,2
2,8
2,8
2,7
3,2
2,9
2,6
3,0","2,3
2,3
2,1
2,7
2,4
1,9
2,3
2,6
2,0
2,1
2,9
2,9"
Total,37066,35680,1094,850,3762,3483,45487,43654,50343,47987,"3,0","2,4"
,,,,,,,,,,,,
