,,,,,,,,,,,,
,Acidentes c/,,Vítimas,,Feridos,,,,Total de,,Índice de,
,,,,,,,Feridos leves,,,,,
,vítimas,,mortais,,graves,,,,vítimas,,gravidade,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,2005,2006,2005,2006,2005,2006,2005,2006,2005,2006,2005,2006
,,,,,,,,,,,,
,,,,,,,,,,,,
"Bom tempo
Chuva
Outros (1)","30808
5179
349","28157
6406
379","943
113
23","694
135
14","3211
451
41","2865
532
40","37397
6741
451","33953
8273
518","41551
7305
515","37512
8940
572","3,1
2,2
6,6","2,5
2,1
3,7"
Total(2),37066,35680,1094,850,3762,3483,45487,43654,50343,47987,"3,0","2,4"
,,,,,,,,,,,,
