,Vítimas,,,,,,,,,
,mortais,,Feridos graves,,Feridos leves,,Total de vítimas,,M e FG por 100,
,,,(FG),,,,,,vítimas em 2006,
,(M),,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,2005,2006,2005,2006,2005,2006,2005,2006,M,FG
,,,,,,,,,,
,,,,,,,,,,
"Peões
Veíc.ligeiros*
Veíc. Pesados*
Velocípedes*
Ciclomotores*
Motociclos*
Outros*","188
544
29
42
93
165
33","137
418
17
35
85
120
38","714
1830
66
137
461
524
30","617
1754
66
125
432
449
40","5568
28969
1071
1290
4583
3725
281","5612
27955
909
1388
4114
3448
228","6470
31343
1166
1469
5137
4414
344","6366
30127
992
1548
4631
4017
306","2,2
1,4
1,7
2,3
1,8
3,0
12,4","9,7
5,8
6,7
8,1
9,3
11,2
13,1"
Total,1094,850,3762,3483,45487,43654,50343,47987,"1,8","7,3"
,,,,,,,,,,
