,,,,,,,,,,,,,,
,,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Total
,,,,,,,,,,,,,,
"REGIÃO
NORTE","Acidentes com vítimas
Acid.c/ mortos e f.graves
Acid.com mortos
Mortos
F.Graves
F.Leves","694
71
19
20
63
870","733
64
17
20
56
898","755
50
9
9
51
964","744
65
14
14
62
957","777
66
8
9
72
967","799
60
9
9
66
1040","904
82
29
31
77
1145","963
98
26
26
95
1283","856
80
13
14
75
1063","860
69
12
13
69
1143","840
76
23
24
71
1051","799
81
26
30
73
1012","9724
862
205
219
830
12393"
Braga,"Acidentes com vítimas
Acid.c/ mortos e f.graves
Acid.com mortos
Mortos
F.Graves
F.Leves","192
17
3
4
15
252","240
20
6
8
17
296","215
22
3
3
28
259","187
21
4
4
21
239","237
22
3
3
21
298","226
17
1
1
18
301","258
21
9
11
16
361","271
32
7
7
33
358","218
13
2
2
12
281","228
14
4
4
11
296","232
19
5
5
17
292","230
26
7
8
28
328","2734
244
54
60
237
3561"
Bragança,"Acidentes com vítimas
Acid.c/ mortos e f.graves
Acid.com mortos
Mortos
F.Graves
F.Leves","22
4
4
4
2
22","18
3
0
0
4
30","20
1
0
0
2
26","24
4
1
1
3
29","31
9
0
0
11
32","31
5
1
1
6
35","39
10
4
4
8
48","58
10
2
2
11
76","49
10
4
5
8
63","31
7
1
1
7
39","33
6
3
3
4
45","32
7
2
2
5
41","388
76
22
23
71
486"
Porto,"Acidentes com vítimas
Acid.c/ mortos e f.graves
Acid.com mortos
Mortos
F.Graves
F.Leves","387
33
8
8
29
484","392
29
7
8
25
474","411
22
5
5
17
544","421
27
5
5
28
549","415
27
5
6
31
527","431
28
4
4
26
537","472
37
14
14
36
581","455
37
12
12
32
590","451
42
3
3
41
551","489
38
5
5
41
674","449
37
10
10
34
569","425
38
13
16
31
509","5198
395
91
96
371
6589"
V.Castelo,"Acidentes com vítimas
Acid.c/ mortos e f.graves
Acid.com mortos
Mortos
F.Graves
F.Leves","49
4
3
3
2
60","41
6
2
2
6
54","65
1
0
0
1
83","63
7
2
2
5
78","57
3
0
0
4
69","53
6
2
2
12
78","82
9
2
2
8
90","93
8
3
3
8
143","81
8
3
3
7
91","69
6
1
1
6
80","65
4
0
0
7
75","76
5
2
2
4
93","794
67
20
20
70
994"
V.Real,"Acidentes com vítimas
Acid.c/ mortos e f.graves
Acid.com mortos
Mortos
F.Graves
F.Leves","44
13
1
1
15
52","42
6
2
2
4
44","44
4
1
1
3
52","49
6
2
2
5
62","37
5
0
0
5
41","58
4
1
1
4
89","53
5
0
0
9
65","86
11
2
2
11
116","57
7
1
1
7
77","43
4
1
2
4
54","61
10
5
6
9
70","36
5
2
2
5
41","610
80
18
20
81
763"
