,,Categoria das cartas de condução,,,,,,,,,
,,,,,,,,,,,
,,A,A1,B,B1,C,C1,D,D1,E*,Total
,,,,,,,,,,,
"REGIÃO
NORTE","Braga
Bragança
Porto
V. Castelo
Vila Real","1774
298
3023
516
496
6107","1675
254
2599
466
376
5370","11785
2422
21395
3016
3138
41756","11701
2397
21238
2966
3106
41408","698
182
1343
170
207
2600","698
182
1343
170
207
2600","155
23
316
40
31
565","155
23
316
40
31
565","2040
419
3846
557
486
7348","30681
6200
55419
7941
8078
108319"
"REGIÃO
CENTRO","Aveiro
C. Branco
Coimbra
Guarda
Leiria
Viseu","1353
251
1178
447
766
968
4963","1222
209
933
306
841
820
4331","8145
2217
4875
1808
4693
5290
27028","8043
2195
4767
1772
4639
5220
26636","465
106
555
220
239
476
2061","463
106
555
220
239
476
2059","87
16
171
35
33
96
438","87
16
171
35
33
96
438","1257
228
1752
580
709
1374
5900","21122
5344
14957
5423
12192
14816
73854"
"REGIÃO DE
LISBOA
E VALE TEJO","Lisboa
Santarém
Setúbal","4237
976
1032
6245","2675
821
686
4182","23510
4803
7663
35976","23377
4697
7609
35683","992
403
363
1758","992
404
363
1759","452
64
111
627","452
64
111
627","3074
1402
996
5472","59761
13634
18934
92329"
"REGIÃO DO
ALENTEJO","Beja
Évora
Portalegre","202
394
126
722","181
280
84
545","1503
1898
1128
4529","1484
1840
1115
4439","72
207
52
331","72
207
52
331","12
61
12
85","12
61
12
85","178
743
174
1095","3716
5691
2755
12162"
R. ALGARVE,Faro,784,583,4388,4335,317,317,62,62,732,11580
TOTAL,,18821,15011,113677,112501,7067,7066,1777,1777,20547,298244
