,Acidentes c/,,Vítimas,,Feridos,,,,Total de,,Índice de,
,,,,,,,Feridos leves,,,,,
,vítimas,,mortais,,graves,,,,vítimas,,gravidade,
,,,,,,,,,,,,
,,,,,,,,,,,,
,2005,2006,2005,2006,2005,2006,2005,2006,2005,2006,2005,2006
,,,,,,,,,,,,
,,,,,,,,,,,,
GNR,26021,24840,964,732,2749,2533,32764,31222,36477,34487,"3,7","2,9"
"Janeiro
Fevereiro
Março
Abril
Maio
Junho
Julho
Agosto
Setembro
Outubro
Novembro
Dezembro","1998
1878
2070
1876
1998
2202
2558
2552
2125
2436
2077
2251","1832
1733
1858
1813
2040
2074
2414
2552
2232
2180
2007
2105","69
91
71
66
86
79
90
86
88
85
70
83","57
52
49
64
58
49
67
77
57
56
72
74","200
212
195
191
175
242
297
314
228
253
212
230","172
197
191
213
232
202
257
279
193
208
167
222","2470
2283
2664
2366
2451
2725
3257
3344
2723
3063
2560
2858","2331
2130
2219
2323
2460
2630
3114
3370
2792
2799
2465
2589","2739
2586
2930
2623
2712
3046
3644
3744
3039
3401
2842
3171","2560
2379
2459
2600
2750
2881
3438
3726
3042
3063
2704
2885","3,5
4,8
3,4
3,5
4,3
3,6
3,5
3,4
4,1
3,5
3,4
3,7","3,1
3,0
2,6
3,5
2,8
2,4
2,8
3,0
2,6
2,6
3,6
3,5"
PSP,11045,10840,130,118,1013,950,12723,12432,13866,13500,"1,2","1,1"
"Janeiro
Fevereiro
Março
Abril
Maio
Junho
Julho
Agosto
Setembro
Outubro
Novembro
Dezembro","860
865
840
836
873
900
1020
863
995
1070
939
984","912
842
910
814
888
953
958
846
932
913
992
880","14
15
11
8
7
8
10
6
13
16
7
15","5
8
9
6
12
9
12
11
7
10
16
13","63
73
68
89
85
74
110
82
79
105
88
97","78
76
60
64
90
90
84
78
86
86
85
73","990
1015
978
936
976
1021
1154
1020
1174
1248
1070
1141","1036
904
1053
990
1006
1114
1128
990
1056
1056
1086
1013","1067
1103
1057
1033
1068
1103
1274
1108
1266
1369
1165
1253","1119
988
1122
1060
1108
1213
1224
1079
1149
1152
1187
1099","1,6
1,7
1,3
1,0
0,8
0,9
1,0
0,7
1,3
1,5
0,7
1,5","0,5
1,0
1,0
0,7
1,4
0,9
1,3
1,3
0,8
1,1
1,6
1,5"
,,,,,,,,,,,,
Total,37066,35680,1094,850,3762,3483,45487,43654,50343,47987,"3,0","2,4"
,,,,,,,,,,,,
