Distrito de Aveiro,,,,,,,,
,,,,,,,,
Código,Km,km,Nº de,Nº de,Nº de,Nº de,Nº de,Indicador de
da via,Inicial,Final,Acidentes,Veículos,Mortos,F.Graves,F.Leves,Gravidade
"A29 (1)
EN109
EN109
EN16
EN16
EN223","37,500
56,000
72,800
3,050
5,300
17,800","37,700
56,200
73,000
3,200
5,500
18,000","6
5
6
5
5
5
32","7
9
13
10
13
8
60","0
0
0
0
0
0
0","0
1
0
1
0
1
3","7
5
8
4
10
6
40","21
25
24
22
30
28"
Distrito de Coimbra,,,,,,,,
,,,,,,,,
IP3,"63,700","63,849",7,8,0,1,9,37
,,,,,,,,
Distrito da Guarda,,,,,,,,
,,,,,,,,
EN102,"126,900","127,100",5,6,0,1,6,28
,,,,,,,,
Distrito de Leiria,,,,,,,,
,,,,,,,,
"EN1
EN242
IC2","130,400
1,400
123,100","130,600
1,600
123,300","5
5
5
15","11
11
12
34","1
2
0
3","0
9
0
9","4
2
7
13","112
296
21"
,,,,,,,,
Distrito de Viseu,,,,,,,,
,,,,,,,,
IC12,"21,150","21,200",5,6,0,3,6,48
