CLASSIFICAÇÃO,,NÚMERO,,
,Muito Graves,,,
"Condução com excesso álcool no sangue
Desrespeito sinal vermelho/stop
Transposição traço contínuo",,"96
53
42",,
,Graves,,,
"Uso telemóvel durante a marcha
Condução com excesso álcool no sangue
Falta de seguro
Excesso de velocidade",,"404
305
186
182",,
,Leves,,,
"Paragem ou estacionamento proibidos
Não utilização de cinto de segurança
Desrespeito sinalização",,"13123
595
255",,
