Distrito de Braga,,,,,,,,
,,,,,,,,
Código,Km,km,Nº de,Nº de,Nº de,Nº de,Nº de,Indicador de
da via,Inicial,Final,Acidentes,Veículos,Mortos,F.Graves,F.Leves,Gravidade
"EN103
EN14","37,100
21,000","37,300
21,200","6
5
11","12
8
20","1
1
2","0
1
1","6
4
10","118
122"
,,,,,,,,
Distrito do Porto,,,,,,,,
,,,,,,,,
"A28(2)
A28(2)
A3(2)
A4(2)
A4(2)
A4(1)
A4(2)
A4(2)
EN105
EN105
EN13
EN13
EN14
EN15
EN15
EN15
EN207
IC1","7,400
34,000
16,200
8,000
16,600
17,000
18,900
28,525
7,900
27,400
2,000
7,400
7,000
12,000
12,750
21,750
40,300
314,000","7,600
34,100
16,400
8,150
16,800
17,200
19,050
28,675
8,050
27,500
2,150
7,600
7,200
12,140
12,950
21,900
40,500
314,000","8
5
13
5
7
6
10
5
7
6
6
5
6
5
5
5
5
5
114","22
6
29
6
17
12
16
6
14
8
15
12
10
10
12
6
9
18
228","0
0
0
0
0
0
0
0
0
0
1
0
0
0
1
0
0
0
2","0
1
1
0
0
0
4
0
2
0
0
1
0
0
2
0
1
1
13","13
7
24
7
10
8
13
8
17
7
7
7
9
7
5
7
6
4
166","39
31
82
21
30
24
79
24
71
21
121
31
27
21
135
21
28
22"
,,,,,,,,
Distrito de Viana do Castelo,,,,,,,,
,,,,,,,,
EN13,"63,900","64,100",5,9,0,0,8,24
(1) Sentido cre scente d a quilometragem,,,,,,,,
(2) Sentido decrescente da quilometragem,,,,,,,,
