,,,,,,,,,,,,
,Acidentes c/,,Vítimas,,Feridos,,,,Total de,,Índice de,
,,,,,,,Feridos leves,,,,,
,vítimas,,mortais,,graves,,,,vítimas,,gravidade,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,2005,2006,2005,2006,2005,2006,2005,2006,2005,2006,2005,2006
,,,,,,,,,,,,
,,,,,,,,,,,,
Atropelamento,6112,5934,183,139,727,612,5765,5650,6675,6401,"3,0","2,3"
"Atrop. com fuga
Atrop. de animais
Atrop. de peões","443
98
5571","460
79
5395","11
1
171","12
1
126","33
8
686","31
2
579","425
104
5236","435
83
5132","469
113
6093","478
86
5837","2,5
1,0
3,1","2,6
1,3
2,3"
Colisão,19994,18886,484,371,1808,1674,26745,25336,29037,27381,"2,4","2,0"
"Choque em cadeia
Colisão com fuga
Outras situações
Col. c/ veic./obst.
na faixa rodagem
Colisão frontal
Colisão lateral
Colisão traseira","488
356
589
1335
4910
8394
3922","557
304
746
1300
4439
7802
3738","5
6
15
24
194
184
56","1
5
10
28
185
104
38","25
24
42
104
723
667
223","19
19
44
104
670
631
187","781
395
734
1703
7206
10874
5052","834
328
931
1679
6708
9925
4931","811
425
791
1831
8123
11725
5331","854
352
985
1811
7563
10660
5156","1,0
1,7
2,5
1,8
4,0
2,2
1,4","0,2
1,6
1,3
2,2
4,2
1,3
1,0"
Despiste,10960,10860,427,340,1227,1197,12977,12668,14631,14205,"3,9","3,1"
"C/ capotamento
C/ colisão c/ veíc.
imobil. / obstáculo
C/ transposição
separador central
C/ fuga
C/ transp. disp. de
retenção lateral
Simples","2720
1752
792
83
350
5263","2614
1660
946
79
338
5223","137
84
22
2
27
155","121
65
27
2
22
103","351
236
88
12
55
485","298
238
96
14
50
501","3563
1970
901
97
443
6003","3311
1911
1076
92
424
5854","4051
2290
1011
111
525
6643","3730
2214
1199
108
496
6458","5,0
4,8
2,8
2,4
7,7
2,9","4,6
3,9
2,9
2,5
6,5
2,0"
Total,37066,35680,1094,850,3762,3483,45487,43654,50343,47987,"3,0","2,4"
,,,,,,,,,,,,
