,"Acidentes c/
vítimas",,"Vítimas
mortais",,,,Feridos leves,,,,,
,,,,,Feridos,,,,Total de,,Índice de,
,,,,,,,,,,,,
,,,,,graves,,,,vítimas,,gravidade,
,,,,,,,,,,,,
,,2006,,2006,,2006,2005,2006,,,,
,2005,,2005,,2005,,,,2005,2006,2005,2006
,,,,,,,,,,,,
,,,,,,,,,,,,
"00-03
03-06
06-09
09-12
12-15
15-18
18-21
21-24","2092
1258
3953
5552
6421
7306
6986
3498","1814
1186
3883
5373
6044
7007
7024
3349","97
93
114
126
116
194
226
128","78
77
103
95
99
138
162
98","340
200
362
444
537
625
732
522","285
206
367
388
488
656
685
408","2706
1514
4960
6584
7782
9154
8363
4424","2312
1437
4759
6459
7285
8769
8472
4161","3143
1807
5436
7154
8435
9973
9321
5074","2675
1720
5229
6942
7872
9563
9319
4667","4,6
7,4
2,9
2,3
1,8
2,7
3,2
3,7","4,3
6,5
2,7
1,8
1,6
2,0
2,3
2,9"
Total,37066,35680,1094,850,3762,3483,45487,43654,50343,47987,"3,0","2,4"
,,,,,,,,,,,,
