,,,,,Não,Infractores,,,,,,,"Total
de testes",,"Inf./Test.
%"
,,,,,infractores,,,,,,,,,,
,,,,0.00-0.49 g/l,,,0.50-0.79,"0.80-1.19
g/l",,">=1,20 g/l",,Total,,,
,,,,,,,g/l,,,,,,,,
15-20,,"Acidentes
M. perigosas
Aleatórias",,"10948
815
15381",,"68
7
304",,"66
10
371",,"206
32
485",,"340
49
1160","11288
864
16541",,"3,0
5,7
7,0"
21-29,,"Acidentes
M. perigosas
Aleatórias",,"46642
4777
74402",,"211
52
2042",,"290
69
2269",,"1296
312
3651",,"1797
433
7962","48439
5210
82364",,"3,7
8,3
9,7"
30-39,,"Acidentes
M. perigosas
Aleatórias",,"48341
5098
69586",,"229
52
1769",,"301
68
2088",,"1689
277
3833",,"2219
397
7690","50560
5495
77276",,"4,4
7,2
10,0"
40-49,,"Acidentes
M. perigosas
Aleatórias",,"36009
5079
54209",,"209
52
1466",,"252
66
1544",,"1428
198
2906",,"1889
316
5916","37898
5395
60125",,"5,0
5,9
9,8"
>=50,,"Acidentes
M. perigosas
Aleatórias",,"42739
5270
47492",,"193
52
1281",,"248
35
1361",,"1560
156
1957",,"2001
243
4599","44740
5513
52091",,"4,5
4,4
8,8"
,,,Acidentes,,184679,,910,1157,,6179,,8246,,192925,"4,3"
,Total(1),,M. perigosas,,21039,,215,248,,975,,1438,,22477,"6,4"
,,,Aleatórias,,261070,,6862,7633,,12832,,27327,,288397,"9,5"
,,,,,466788,,7987,9038,,19986,,37011,,503799,"7,3"
