,,Acidentes c/,,Feridos,Feridos,Total de
,,,Mortos,,,
,,vítimas,,graves,leves,vítimas
,,,,,,
"REGIÃO
CENTRO","Atropelamentos
Colisão
Despiste
Total","1207
5340
3775
10322","33
123
110
266","116
483
350
949","1166
7135
4331
12632","1315
7741
4791
13847"
Aveiro,"Atropelamentos
Colisão
Despiste
Total","354
1813
876
3043","10
25
23
58","49
148
65
262","327
2306
971
3604","386
2479
1059
3924"
C. Branco,"Atropelamentos
Colisão
Despiste
Total","101
245
336
682","4
8
9
21","15
38
54
107","94
335
394
823","113
381
457
951"
Coimbra,"Atropelamentos
Colisão
Despiste
Total","238
994
749
1981","2
22
19
43","14
51
41
106","243
1339
893
2475","259
1412
953
2624"
Guarda,"Atropelamentos
Colisão
Despiste
Total","51
202
311
564","3
10
16
29","8
39
36
83","43
297
370
710","54
346
422
822"
Leiria,"Atropelamentos
Colisão
Despiste
Total","280
1314
888
2482","8
37
22
67","19
118
84
221","276
1806
1006
3088","303
1961
1112
3376"
Viseu,"Atropelamentos
Colisão
Despiste
Total","183
772
615
1570","6
21
21
48","11
89
70
170","183
1052
697
1932","200
1162
788
2150"
