,,Vítimas mortais,,,Feridos graves,Feridos graves,,Feridos leves,,,,Total de vítimas,,
,,2005,,2006,,2005,2006,,2005,,2006,2005,,2006
"REGIÃO
CENTRO
Aveiro
C. Branco
Coimbra
Guarda
Leiria
Viseu",,"308
67
29
72
19
71
50","266
58
21
43
29
67
48",,"951
270
115
113
67
230
156",,"949
262
107
106
83
221
170","13193
3826
795
2766
645
3258
1903",,"12632
3604
823
2475
710
3088
1932",,"14452
4163
939
2951
731
3559
2109","13847
3924
951
2624
822
3376
2150",
