,,,,,
,Acidentes,,Feridos,,Total de
,,Mortos,,Feridos leves,
,com vítimas,,graves,,vítimas
,,,,,
,,,,,
"REGIÃO CENTRO
Dentro Localidade
Fora Localidade","10322
7038
3284","266
134
132","949
517
432","12632
8379
4253","13847
9030
4817"
"Aveiro
Dentro Localidade
Fora Localidade","3043
2339
704","58
40
18","262
201
61","3604
2727
877","3924
2968
956"
"C. Branco
Dentro Localidade
Fora Localidade","682
317
365","21
9
12","107
46
61","823
344
479","951
399
552"
"Coimbra
Dentro Localidade
Fora Localidade","1981
1409
572","43
29
14","106
49
57","2475
1720
755","2624
1798
826"
"Guarda
Dentro Localidade
Fora Localidade","564
251
313","29
11
18","83
26
57","710
299
411","822
336
486"
"Leiria
Dentro Localidade
Fora Localidade","2482
1772
710","67
28
39","221
118
103","3088
2194
894","3376
2340
1036"
"Viseu
Dentro Localidade
Fora Localidade","1570
950
620","48
17
31","170
77
93","1932
1095
837","2150
1189
961"
