,,,,,,,,,,,,,,
,,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Total
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"REGIÃO
CENTRO","Acidentes com vítimas
Acid.c/ mortos e f.graves
Acid.com mortos
Mortos
F.Graves
F.Leves","820
66
17
17
61
1011","687
75
15
15
78
792","780
80
23
24
74
924","727
82
24
26
83
946","838
85
17
17
80
980","869
77
19
19
71
1074","1003
101
15
17
103
1260","1070
106
33
38
106
1368","938
76
22
23
71
1165","856
88
23
25
78
1014","893
69
22
27
56
1085","841
91
17
18
88
1013","10322
996
247
266
949
12632"
Aveiro,"Acidentes com vítimas
Acid.c/ mortos e f.graves
Acid.com mortos
Mortos
F.Graves
F.Leves","240
14
3
3
11
275","220
28
6
6
24
252","246
23
3
4
26
282","215
26
8
10
21
253","254
30
5
5
27
288","245
23
4
4
20
295","268
23
1
1
26
325","275
26
5
6
26
346","273
17
6
6
16
335","263
22
4
4
21
311","293
22
5
5
18
350","251
25
3
4
26
292","3043
279
53
58
262
3604"
"Castelo
Branco","Acidentes com vítimas
Acid.c/ mortos e f.graves
Acid.com mortos
Mortos
F.Graves
F.Leves","54
7
2
2
8
62","37
8
1
1
11
39","56
9
2
2
12
68","47
8
1
1
9
53","54
5
0
0
7
73","53
4
0
0
4
58","71
10
0
0
10
91","76
16
3
3
14
86","73
9
3
4
7
95","58
10
2
2
11
75","51
10
4
4
7
63","52
9
2
2
7
60","682
105
20
21
107
823"
Coimbra,"Acidentes com vítimas
Acid.c/ mortos e f.graves
Acid.com mortos
Mortos
F.Graves
F.Leves","160
9
1
1
8
205","106
8
3
3
9
121","154
14
3
3
12
182","142
12
4
4
10
190","173
13
7
7
8
203","180
9
3
3
7
244","203
10
4
5
9
268","181
6
3
6
4
228","173
9
3
3
6
218","163
16
5
5
11
185","172
4
1
1
3
216","174
17
2
2
19
215","1981
127
39
43
106
2475"
Guarda,"Acidentes com vítimas
Acid.c/ mortos e f.graves
Acid.com mortos
Mortos
F.Graves
F.Leves","40
4
1
1
3
61","40
7
2
2
11
56","34
3
1
1
2
52","39
6
1
1
9
60","47
7
1
1
7
59","50
10
3
3
8
58","64
17
4
5
14
65","71
13
5
5
15
98","53
11
4
4
9
54","42
3
2
2
1
47","40
4
3
3
1
43","44
4
1
1
3
57","564
89
28
29
83
710"
Leiria,"Acidentes com vítimas
Acid.c/ mortos e f.graves
Acid.com mortos
Mortos
F.Graves
F.Leves","204
22
5
5
26
248","174
15
2
2
14
199","179
18
8
8
14
205","170
14
6
6
17
249","201
17
2
2
18
233","200
20
5
5
23
253","242
20
3
3
20
308","289
27
9
9
23
370","229
18
4
4
15
293","184
17
6
8
16
231","220
20
6
7
16
270","190
24
8
8
19
229","2482
232
64
67
221
3088"
Viseu,"Acidentes com vítimas
Acid.c/ mortos e f.graves
Acid.com mortos
Mortos
F.Graves
F.Leves","122
10
5
5
5
160","110
9
1
1
9
125","111
13
6
6
8
135","114
16
4
4
17
141","109
13
2
2
13
124","141
11
4
4
9
166","155
21
3
3
24
203","178
18
8
9
24
240","137
12
2
2
18
170","146
20
4
4
18
165","117
9
3
7
11
143","130
12
1
1
14
160","1570
164
43
48
170
1932"
