,,Vítimas mortais,,,Feridos graves,,Feridos leves,,Total de vítimas,
,,,,,,,,,,
,,,2005,2006,2005,2006,2005,2006,2005,2006
"REGIÃO DE
LISBOA
E VALE TEJO
Lisboa
Santarém
Setúbal",,"328
136
91
101",,"237
102
51
84","1351
766
313
272","1151
678
225
248","14657
8597
2713
3347","14404
8435
2505
3464","16336
9499
3117
3720","15792
9215
2781
3796"
