,,,,,,,,,,,,
,Acidentes c/,,Vítimas,,Feridos,,,,Total de,,Índice de,
,,,,,,,Feridos leves,,,,,
,vítimas,,mortais,,graves,,,,vítimas,,gravidade,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,2005,2006,2005,2006,2005,2006,2005,2006,2005,2006,2005,2006
,,,,,,,,,,,,
,,,,,,,,,,,,
"Auto-Estrada
Est. Nacional
Dentro localidades
Fora localidades
IP/IC
Dentro localidades
Fora localidades
Est. Municipal
Dentro localidades
Fora localidades
Arruamentos
Outras(1)
Dentro localidades
Fora localidades","2035
10370
5025
5345
1561
263
1298
3875
1482
2393
18463
762
452
310","2327
9418
4661
4757
1299
277
1022
3685
1386
2299
18224
727
416
311","86
467
170
297
118
13
105
154
45
109
232
37
11
26","74
354
134
220
75
8
67
129
46
83
189
29
16
13","188
1279
543
736
230
37
193
454
132
322
1516
95
52
43","216
1173
466
707
192
23
169
414
125
289
1410
78
40
38","2879
13501
6409
7092
2087
334
1753
4708
1814
2894
21281
1031
623
408","3313
12229
6035
6194
1743
369
1374
4387
1664
2723
21081
901
530
371","3153
15247
7122
8125
2435
384
2051
5316
1991
3325
23029
1163
686
477","3603
13756
6635
7121
2010
400
1610
4930
1835
3095
22680
1008
586
422","4,2
4,5
3,4
5,6
7,6
4,9
8,1
4,0
3,0
4,6
1,3
4,9
2,4
8,4","3,2
3,8
2,9
4,6
5,8
2,9
6,6
3,5
3,3
3,6
1,0
4,0
3,8
4,2"
Total da rede,37066,35680,1094,850,3762,3483,45487,43654,50343,47987,"3,0","2,4"
,,,,,,,,,,,,
Dentro localidades,25685,24964,471,393,2280,2064,30461,29679,33212,32136,"1,8","1,6"
,,,,,,,,,,,,
Fora localidades,11381,10716,623,457,1482,1419,15026,13975,17131,15851,"5,5","4,3"
,,,,,,,,,,,,
