,,,Fev,,,,,,,Set,,Nov,,
,,Jan,,Mar,Abr,Mai,Jun,Jul,Ago,,Out,,Dez,Total
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"REGIÃO DE
LISBOA E
VALE TEJO","Acidentes com vítimas
Acid.c/ mortos e f.graves
Acid.com mortos
Mortos
F.Graves
F.Leves","978
81
16
16
88
1191","886
96
12
13
104
1022","973
99
15
16
92
1092","898
87
10
11
93
1121","985
124
25
25
126
1144","1027
105
21
24
109
1221","1061
96
21
23
91
1334","1007
89
19
19
84
1308","1062
88
16
16
91
1269","1082
94
17
17
94
1346","1014
101
22
27
92
1126","1038
88
23
30
87
1230","12011
1148
217
237
1151
14404"
Lisboa,"Acidentes com vítimas
Acid.c/ mortos e f.graves
Acid.com mortos
Mortos
F.Graves
F.Leves","605
41
4
4
48
720","544
49
3
4
49
629","603
65
8
9
62
671","540
48
1
1
55
669","547
68
11
11
73
625","632
63
13
14
70
735","607
53
10
10
52
759","567
47
9
9
44
723","640
52
6
6
53
747","663
67
13
13
66
786","602
56
9
12
53
658","629
50
7
9
53
713","7179
659
94
102
678
8435"
Santarém,"Acidentes com vítimas
Acid.c/ mortos e f.graves
Acid.com mortos
Mortos
F.Graves
F.Leves","150
13
4
4
14
189","156
18
2
2
26
191","152
17
3
3
15
168","143
16
4
4
16
174","188
29
6
6
29
206","172
16
4
4
15
207","198
19
1
1
19
234","195
18
2
2
20
263","197
19
5
5
20
239","180
12
3
3
11
226","196
24
5
6
23
217","168
21
8
11
17
191","2095
222
47
51
225
2505"
Setúbal,"Acidentes com vítimas
Acid.c/ mortos e f.graves
Acid.com mortos
Mortos
F.Graves
F.Leves","223
27
8
8
26
282","186
29
7
7
29
202","218
17
4
4
15
253","215
23
5
6
22
278","250
27
8
8
24
313","223
26
4
6
24
279","256
24
10
12
20
341","245
24
8
8
20
322","225
17
5
5
18
283","239
15
1
1
17
334","216
21
8
9
16
251","241
17
8
10
17
326","2737
267
76
84
248
3464"
