,,Acidentes c/,,Feridos,Feridos,Total de
,,,Mortos,,,
,,vítimas,,graves,leves,vítimas
,,,,,,
"REGIÃO
NORTE","Atropelamentos
Colisão
Despiste
Total","1753
5564
2407
9724","42
83
94
219","166
404
260
830","1673
7711
3009
12393","1881
8198
3363
13442"
Braga,"Atropelamentos
Colisão
Despiste
Total","463
1591
680
2734","13
22
25
60","56
107
74
237","427
2265
869
3561","496
2394
968
3858"
Bragança,"Atropelamentos
Colisão
Despiste
Total","53
145
190
388","3
7
13
23","6
25
40
71","49
214
223
486","58
246
276
580"
Porto,"Atropelamentos
Colisão
Despiste
Total","1052
3074
1072
5198","20
35
41
96","84
185
102
371","1025
4212
1352
6589","1129
4432
1495
7056"
V.Castelo,"Atropelamentos
Colisão
Despiste
Total","105
461
228
794","3
9
8
20","6
51
13
70","103
612
279
994","112
672
300
1084"
V.Real,"Atropelamentos
Colisão
Despiste
Total","80
293
237
610","3
10
7
20","14
36
31
81","69
408
286
763","86
454
324
864"
