,,Vítimas mortais (M) por 1 milhão de habitantes,,,,,,,,,
,,<=14,,15-19,20-24,,25-29,,30-34,35-39,40-44
"População(1)
M / 1 milhão hab.","1644231
12",,"590205
73",,"702826
108","810876
137",,"835266
80",,"781937
88","785577
75"
