CLASSIFICAÇÃO,,NÚMERO,,
,Muito Graves,,,
"Excesso de velocidade
Condução com excesso álcool no sangue
Transposição traço contínuo",,"241
125
117",,
,Graves,,,
"Excesso de velocidade
Falta de seguro
Condução com excesso álcool no sangue
Uso telemóvel durante a marcha",,"857
368
325
223",,
,Leves,,,
"Paragem ou estacionamento proibidos
Desrespeito da sinalização
Não utilização de cinto de segurança
Excesso de velocidade",,"5142
616
435
433",,
