,,,,,,
,Até 5 anos,,5 a 9 anos,,10 a 14 anos,
,,,,,,
,,,,,,
,2005,2006,2005,2006,2005,2006
"Veíc. ligeiro
Veíc. pesado
Ciclomotor
Motociclos
Sub-total","13045
719
1033
1726
16523","11550
595
781
1370
14296","16576
1059
1477
1502
20614","16314
991
1296
1432
20033","10628
485
915
608
12636","10527
468
849
659
12503"
,,,,,,
,15 a 19 anos,,>=20 anos,,Total(1),
,,,,,,
,,,,,,
,2005,2006,2005,2006,2005,2006
"Veíc. ligeiro
Veíc. pesado
Ciclomotor
Motociclos
Sub-total","4519
351
947
175
5992","4738
324
920
183
6165","729
119
333
58
1239","708
87
333
65
1193","46299
2800
4950
4191
58240","44627
2529
4457
3853
55466"
