,,,,"Não
infractores",Infractores,,,,,"Total de
testes",,"Inf./Test.
%"
,,,0.00-0.49 g/l,,"0.50-0.79
g/l","0.80-1,19",">=1,20 g/l",Total,,,,
,,,,,,g/l,,,,,,
"REGIÃO
NORTE",,"Braga
Bragança
Porto
V. Castelo
Vila Real","41158
10954
40126
32160
19198
143596",,"795
131
505
554
494
2479","908
180
510
525
465
2588","1367
623
1587
708
613
4898","3070
934
2602
1787
1572
9965",,"44228
11888
42728
33947
20770
153561",,"6,9
7,9
6,1
5,3
7,6
6,5"
"REGIÃO
CENTRO",,"Aveiro
C. Branco
Coimbra
Guarda
Leiria
Viseu","38130
19630
25048
9819
24169
17183
133979",,"562
247
280
148
373
293
1903","660
366
405
172
474
370
2447","1753
804
693
306
1294
699
5549","2975
1417
1378
626
2141
1362
9899",,"41105
21047
26426
10445
26310
18545
143878",,"7,2
6,7
5,2
6,0
8,1
7,3
6,9"
"REGIÃO DE
LISBOA E
VALE TEJO",,"Lisboa
Santarém
Setúbal","87154
11571
32100
130825",,"1369
260
365
1994","1462
273
484
2219","3483
823
1503
5809","6314
1356
2352
10022",,"93468
12927
34452
140847",,"6,8
10,5
6,8
7,1"
"REGIÃO DO
ALENTEJO",,"Beja
Évora
Portalegre","14478
10650
13005
38133",,"357
333
201
891","409
371
254
1034","587
699
548
1834","1353
1403
1003
3759",,"15831
12053
14008
41892",,"8,5
11,6
7,2
9,0"
"REGIÃO
ALGARVE",,Faro,20356,,720,750,1896,3366,,23722,,"14,2"
,TOTAL,,,466889,7987,9038,19986,,37011,503900,,"7,3"
