"REGIÃO DO
ALGARVE",Vítimas mortais,,,,Feridos graves,,,Feridos leves,Feridos leves,,Total de vítimas,Total de vítimas,,
,,,,,,,,,,,,,,
,,2005,,2006,2005,,2006,,2005,2006,,2005,,2006
Faro,74,,51,,303,284,,2692,,2517,3069,,2852,
