,Madeira,Açores
,,
"Menor 0,50 g/l
De 0,50 a 0,79 g/l
De 0.80 a 1,19 g/l
Igual ou maior 1,20 g/l","5447
305
96
220","7607
325
125
242"
Total de Infractores,621,692
Total de testes,6068,8299
,,
