,,,Feridos leves,,,,,,,,,,,,,,,,,,,
,,,<=14,15-19,,20-24,25-29,,30-34,35-39,,40-44,45-49,,50-54,55-59,,60-64,>=65,,,Total
,,,,,,,,,,,,,,,,,,,,,,(1)
Peões,"2005
2006
06/05",,"1215
1154
-61","374
379
5",,"271
259
-12","255
260
5",,"259
256
-3","296
265
-31",,"302
319
17","287
297
10",,"284
326
42","334
274
-60",,"300
338
38","1348
1436
88",,"5568
5612
44",
"Veículo
Ligeiro*","2005
2006
06/05",,"1974
1953
-21","2252
2059
-193",,"4501
4055
-446","3959
3584
-375",,"3128
3111
-17","2488
2373
-115",,"2209
2200
-9","1850
1999
149",,"1652
1649
-3","1351
1278
-73",,"1066
1074
8","2336
2401
65",,"28968
27955
-1013",
"Veículo
Pesado*","2005
2006
06/05",,"56
39
-17","49
43
-6",,"76
52
-24","105
82
-23",,"119
107
-12","112
100
-12",,"101
91
-10","112
91
-21",,"108
79
-29","76
71
-5",,"59
57
-2","80
84
4",,"1071
909
-162",
Velocípede**,"2005
2006
06/05",,"247
239
-8","181
162
-19",,"77
77
0","71
80
9",,"69
87
18","105
93
-12",,"73
96
23","63
91
28",,"81
68
-13","45
80
35",,"49
55
6","206
235
29",,"1291
1388
97",
Ciclomotor*,"2005
2006
06/05",,"82
69
-13","561
536
-25",,"398
289
-109","385
316
-69",,"405
373
-32","401
344
-57",,"433
358
-75","328
318
-10",,"289
273
-16","253
230
-23",,"239
203
-36","778
775
-3",,"4583
4114
-469",
Motociclo*,"2005
2006
06/05",,"46
17
-29","587
497
-90",,"706
601
-105","780
723
-57",,"522
561
39","353
335
-18",,"216
224
8","184
173
-11",,"99
113
14","77
65
-12",,"42
36
-6","90
80
-10",,"3725
3448
-277",
,,2005,3627,,4013,6045,,5560,4512,,3761,3350,,2843,2529,,2152,1783,,4969,,45487
Total (2),,2006,3486,,3684,5341,,5057,4510,,3521,3306,,2981,2516,,2015,1785,,5090,,43654
,,06/05,-141,,-329,-704,,-503,-2,,-240,-44,,138,-13,,-137,2,,121,,-1833
