CLASSIFICAÇÃO,,NÚMERO,
,Muito Graves,,
"Transposição de linha longitudinal contínua
Desrespeito da obrigação de parar imposta pela luz vermelha de regulação do trânsito
Condução com uma taxa de álcool no sangue igual ou superior a 0,8 g/l e inferior a 1,2 g/l
Condução de automóvel ligeiro ou de motociclo, dentro de localidade, a uma velocidade instantânea que exceda em
mais de 40 Km/h e até 60 Km/h o limite máximo de velocidade estabelecido no n.º 1 do art. 27.º CE
Não cumprimento do sinal de paragem obrigatória na intersecção
Desrespeito pelo sinal de paragem do agente fiscalizador ou regulador do trânsito
Condução de automóvel ligeiro ou de motociclo, fora de localidade, a uma velocidade instantânea que exceda em mais
de 60 Km/h e até 80 Km/h o limite máximo de velocidade estabelecido no n.º 1 do art. 27.º CE
Condução de automóvel ligeiro ou de motociclo, dentro de localidade, sendo aferida uma velocidade média que exceda
em mais de 40 km/h e até 60 km/h o limite máximo de velocidade estabelecido no n.º 1 do art. 27.º CE
Condução de automóvel ligeiro ou de motociclo, fora de localidade, excedendo em mais de 60 Km/h e até 80 Km/h o
limite máximo de velocidade instantânea imposto por sinalização
Condução de automóvel ligeiro ou de motociclo, dentro de localidade, excedendo em mais de 40 Km/h e até 60 Km/h o
limite máximo de velocidade instantânea imposto por sinalização",,"10101
10063
8441
6584
3171
2960
1683
974
758
721",
,Graves,,
"Condução de automóvel ligeiro ou de motociclo, dentro de localidade, a uma velocidade instantânea que exceda em
mais de 20 Km/h e até 40 Km/h o limite máximo de velocidade estabelecido no n.º 1 do art. 27.º CE
Utilização, no exercício da condução, de auscultadores sonoros e de aparelhos radiotelefónicos não permitidos por lei
Condução de automóvel ligeiro ou de motociclo, fora de localidade, a uma velocidade instantânea que exceda em mais
de 30 Km/h e até 60 Km/h o limite máximo de velocidade estabelecido no n.º 1 do art. 27.º CE
Trânsito de automóvel ou de motociclo não tendo sido efectuado seguro de responsabilidade civil obrigatório
Condução de automóvel ligeiro ou de motociclo, fora de localidade, excedendo em mais de 30 Km/h e até 60 Km/h o
limite máximo de velocidade instantânea imposto por sinalização
Paragem ou estacionamento nas passagens assinaladas para a travessia de peões
Condução com uma taxa de álcool no sangue igual ou superior a 0,5 g/l e inferior a 0,8 g/l
Condução de automóvel ligeiro ou de motociclo, dentro de localidade, excedendo em mais de 20 Km/h e até 40 Km/h
o limite máximo de velocidade instantânea imposto por sinalização
Paragem ou estacionamento nas passagens assinaladas para a travessia de peões, impedindo a passagem de peões
Não cumprimento do sinal de sentido proibido",,"35171
33423
26742
17148
12930
7858
7114
7041
5600
2895",
,Leves,,
"Estacionamento em parque ou zona para além do tempo ou sem pagamento de taxa
Paragem ou estacionamento em pistas de velocípedes, ilhéus direccionais, placas centrais de rotundas, passeios e
demais locais destinados ao trânsito de peões
Condução de automóvel sem ou com má utilização do cinto de segurança e demais acessórios de segurança, pelo
condutor ou passageiros
Não cumprimento do sinal de paragem e estacionamento proibidos
Não sujeição de veículo a inspecção periódica obrigatória dentro do prazo legal
Condução de automóvel, motociclo ou veículo a motor, sem que o condutor seja portador de documento legal de
identificação pessoal, títulos de condução e de registo de propriedade do veículo, certificado de seguro, documento de
identificação e ficha de inspecção periódica do veículo
Estacionamento de veículos em local, devidamente sinalizado, reservado ao estacionamento de outros veículos
Não cumprimento do sinal de estacionamento proibido
Estacionamento em via com um só sentido, impedindo a formação de uma fila de trânsito, ou em via com dois sentidos,
obrigando à utilização da via destinada ao trânsito em sentido contrário
Paragem ou estacionamento, dentro de localidade, não se encontrando o veículo o mais próximo possível do limite
direito da faixa de rodagem, paralelamente a esta e no sentido da marcha",,"73752
58960
38902
36977
30886
28641
25470
23463
20135
17791",
