,VÍTIMAS,,,,,,,
,MORTAIS,,,,,,,
,,,,,,,,
,Feminino,,Masculino,,N.D.,,TOTAL,
,,,,,,,,
,,,,,,,,
,2017,2018,2017,2018,2017,2018,2017,2018
,,,,,,,,
15-19,0,2,10,12,0,0,10,14
20-24,4,8,18,27,0,0,22,35
25-29,3,1,25,25,0,0,28,26
30-34,1,1,32,35,0,0,33,36
35-39,1,4,36,29,0,0,37,33
40-44,3,2,29,39,0,0,32,41
45-49,3,1,31,44,0,0,34,45
50-54,5,1,41,25,0,0,46,26
55-59,2,4,25,23,0,0,27,27
60-64,3,3,39,36,0,0,42,39
65-69,3,5,12,26,0,0,15,31
70-74,1,3,20,18,0,0,21,21
>=75,2,8,49,53,0,0,51,61
TOTAL,31,43,367,392,0,0,398,435
