,,,,,,,,
,FERIDOS GRAVES,,,,,,,
,,,,,,,,
,,,,,,,,
,Feminino,,Masculino,,N.D.,,TOTAL,
,,,,,,,,
,,,,,,,,
,2017,2018,2017,2018,2017,2018,2017,2018
,,,,,,,,
<=14,17,15,14,10,0,0,31,25
15-19,19,17,19,29,0,0,38,46
20-24,10,18,31,29,0,0,41,47
25-29,18,15,26,15,0,0,44,30
30-34,8,11,16,19,0,0,24,30
35-39,5,14,16,9,0,0,21,23
40-44,8,14,7,9,0,0,15,23
45-49,15,12,15,8,0,0,30,20
50-54,12,9,11,7,0,0,23,16
55-59,12,12,13,13,0,0,25,25
60-64,13,10,4,8,0,0,17,18
65-69,16,14,6,6,0,0,22,20
70-74,18,14,4,2,0,0,22,16
>=75,29,24,9,11,0,0,38,35
TOTAL,200,199,191,175,0,0,391,374
