,Acidentes,,Vítimas,,Feridos,,Feridos,,Total de,,Índice de,
,c/ vítimas,,mortais,,graves,,leves,,vítimas,,gravidade,
,,,,,,,,,,,,
,2017,2018,2017,2018,2017,2018,2017,2018,2017,2018,2017,2018
,,,,,,,,,,,,
Bom tempo,29641,27218,522,554,1882,1699,35755,32640,38159,34893,"1,8","2,0"
Chuva,4490,6670,73,109,210,276,5670,8252,5953,8637,"1,6","1,6"
Outros,215,292,7,11,24,18,270,384,301,413,"3,3","3,8"
N.D.,70,55,0,1,1,2,81,59,82,62,"0,0","1,8"
TOTAL,34416,34235,602,675,2117,1995,41776,41335,44495,44005,"1,7","2,0"
