,,Vítimas,,Feridos,,Feridos,,Total de,
,,mortais,,graves,,leves,,vítimas,
,,,,,,,,,
,,2017,2018,2017,2018,2017,2018,2017,2018
,,,,,,,,,
,00-03,3,13,11,8,79,79,93,100
,03-06,12,5,7,8,42,57,61,70
,06-09,17,21,51,38,554,521,622,580
,09-12,22,17,61,56,1025,910,1108,983
,12-15,12,17,49,50,807,853,868,920
TOTAL,15-18,17,24,73,81,1055,1023,1145,1128
,18-21,30,43,98,107,1260,1322,1388,1472
,21-24,17,16,43,40,306,343,366,399
,TOTAL,130,156,393,388,5128,5108,5651,5652
