,Vítimas,,Feridos,,Feridos,,Total,,Total,
,mortais,,graves,,leves,,vítimas,,intervenientes,
,,,,,,,,,,
,2017,2018,2017,2018,2017,2018,2017,2018,2017,2018
,,,,,,,,,,
< 1 ano,12,10,52,53,1384,1408,1448,1471,2664,2781
1 a 5 anos,62,81,269,262,7012,7114,7343,7457,15168,15075
6 a 10 anos,31,54,135,125,3748,3726,3914,3905,7949,7971
11 a 20 anos,73,69,244,206,5088,4723,5405,4998,10894,10273
> 20 anos,176,169,432,410,6584,6670,7192,7249,14025,14176
N.D.,5,5,30,28,567,484,602,517,2963,2739
TOTAL *,359,388,1162,1084,24383,24125,25904,25597,53663,53015
