,,,,,,,,
,VÍTIMAS MORTAIS,,,,,,,
,,,,,,,,
,,,,,,,,
,Feminino,,Masculino,,N.D.,,TOTAL,
,,,,,,,,
,,,,,,,,
,2017,2018,2017,2018,2017,2018,2017,2018
,,,,,,,,
<=14,1,2,1,3,0,0,2,5
15-19,3,0,2,2,0,0,5,2
20-24,4,2,4,12,0,0,8,14
25-29,0,2,3,5,0,0,3,7
30-34,0,1,4,4,0,0,4,5
35-39,3,0,5,4,0,0,8,4
40-44,1,3,1,2,0,0,2,5
45-49,2,2,3,0,0,0,5,2
50-54,2,1,3,4,0,0,5,5
55-59,1,2,2,3,0,0,3,5
60-64,5,1,0,2,0,0,5,3
65-69,5,1,0,2,0,0,5,3
70-74,1,4,2,0,0,0,3,4
>=75,14,17,2,3,0,0,16,20
TOTAL,42,38,32,46,0,0,74,84
