,,Vítimas,,Feridos,,Feridos,,Total de,
,,mortais,,graves,,leves,,vítimas,
,,,,,,,,,
,,2017,2018,2017,2018,2017,2018,2017,2018
,,,,,,,,,
,Dia,72,82,248,245,3805,3551,4125,3878
,Noite,49,70,133,135,1149,1404,1331,1609
,Aurora/Crepúsculo,9,4,12,8,165,153,186,165
TOTAL,N.D.,0,0,0,0,9,0,9,0
,TOTAL,130,156,393,388,5128,5108,5651,5652
