,,,,,,,,
,TOTAL DE VÍTIMAS,,,,,,,
,,,,,,,,
,,,,,,,,
,Feminino,,Masculino,,N.D.,,TOTAL,
,,,,,,,,
,,,,,,,,
,2017,2018,2017,2018,2017,2018,2017,2018
,,,,,,,,
<=14,870,815,789,891,0,0,1659,1706
15-19,675,663,487,469,0,0,1162,1132
20-24,687,681,528,514,0,0,1215,1195
25-29,505,524,319,344,0,0,824,868
30-34,381,379,251,241,0,0,632,620
35-39,353,380,197,176,0,0,550,556
40-44,419,383,171,187,0,0,590,570
45-49,414,370,172,154,0,0,586,524
50-54,427,415,172,141,0,0,599,556
55-59,439,388,141,134,0,0,580,522
60-64,415,392,97,114,0,0,512,506
65-69,433,420,102,93,0,0,535,513
70-74,359,360,79,92,0,0,438,452
>=75,593,604,156,174,0,0,749,778
N.D.,0,0,0,0,0,6,0,6
TOTAL,6970,6774,3661,3724,0,6,10631,10504
