,,Vítimas,,Feridos,,Feridos,,Total de,
,,mortais,,graves,,leves,,vítimas,
,,,,,,,,,
,,2017,2018,2017,2018,2017,2018,2017,2018
,,,,,,,,,
,2ª feira,14,22,64,66,798,836,876,924
,3ª feira,20,20,67,62,835,803,922,885
,4ª feira,15,27,69,56,803,845,887,928
,5ª feira,23,23,55,56,850,772,928,851
,6ª feira,26,18,51,68,866,832,943,918
TOTAL,Sábado,17,29,48,50,568,601,633,680
,Domingo,15,17,39,30,408,419,462,466
,TOTAL,130,156,393,388,5128,5108,5651,5652
