,,,,,,,,
,TOTAL DE VÍTIMAS,,,,,,,
,,,,,,,,
,,,,,,,,
,Feminino,,Masculino,,N.D.,,TOTAL,
,,,,,,,,
,,,,,,,,
,2017,2018,2017,2018,2017,2018,2017,2018
,,,,,,,,
<=5,42,59,74,80,0,0,116,139
6-9,57,44,96,89,0,0,153,133
10-14,165,157,172,176,0,0,337,333
15-19,253,253,189,197,0,0,442,450
20-24,181,210,132,162,0,0,313,372
25-29,153,133,112,94,0,0,265,227
30-34,122,112,76,67,0,0,198,179
35-39,117,128,95,97,0,0,212,225
40-44,162,160,137,125,0,0,299,285
45-49,204,196,148,131,0,0,352,327
50-54,212,220,152,164,0,0,364,384
55-59,236,235,180,172,0,0,416,407
60-64,240,229,161,176,0,0,401,405
65-69,225,230,182,178,0,0,407,408
70-74,242,237,155,175,0,0,397,412
>=75,574,536,402,430,0,0,976,966
N.D.,1,0,2,0,0,0,3,0
TOTAL,3186,3139,2465,2513,0,0,5651,5652
