,<=4 anos,,5 a 9 anos,,10 a 14 anos,,15 a 19 anos,,>=20 anos,,N.D.,,TOTAL,
,2017,2018,2017,2018,2017,2018,2017,2018,2017,2018,2017,2018,2017,2018
Veíc. Ligeiros,6420,7031,7622,6940,9348,8926,10862,10030,8244,9181,332,294,42828,42402
Veíc. Pesados,260,288,345,299,444,495,371,322,226,206,11,15,1657,1625
Ciclomotores,474,388,794,468,494,599,286,251,823,768,11,16,2882,2490
Motociclos,1991,2400,1390,1357,836,749,812,713,684,768,45,24,5758,6011
TOTAL,9145,10107,10151,9064,11122,10769,12331,11316,9977,10923,399,349,53125,52528
