,,FERIDOS LEVES,,,,,,,,,,,,,
,,<=14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,>=65,N.D.,TOTAL
,2017,577,417,291,252,183,197,270,322,332,376,363,1546,2,5128
,,,,,,,,,,,,,,,
,2018,569,427,348,216,173,207,260,304,338,358,368,1540,0,5108
Peões,,,,,,,,,,,,,,,
,18-17,-8,10,57,-36,-10,10,-10,-18,6,-18,5,-6,-2,-20
,,,,,,,,,,,,,,,
,2017,1531,1494,3137,2442,2105,2060,2251,1973,1728,1611,1317,3756,5,25410
,,,,,,,,,,,,,,,
,2018,1575,1402,3149,2471,2033,2048,2037,1914,1726,1585,1320,3854,2,25116
Veíc. Ligeiros *,,,,,,,,,,,,,,,
,18-17,44,-92,12,29,-72,-12,-214,-59,-2,-26,3,98,-3,-294
,,,,,,,,,,,,,,,
,2017,21,25,30,36,43,58,78,78,72,59,55,58,0,613
,,,,,,,,,,,,,,,
,2018,17,46,25,36,35,61,69,81,67,73,64,96,2,672
Veíc. Pesados *,,,,,,,,,,,,,,,
,18-17,-4,21,-5,0,-8,3,-9,3,-5,14,9,38,2,59
,,,,,,,,,,,,,,,
,2017,148,197,129,98,140,163,171,183,158,133,102,263,0,1885
,,,,,,,,,,,,,,,
,2018,125,203,129,108,128,167,178,190,143,125,114,243,0,1853
Velocípedes *,,,,,,,,,,,,,,,
,18-17,-23,6,0,10,-12,4,7,7,-15,-8,12,-20,0,-32
,,,,,,,,,,,,,,,
,2017,25,314,266,145,108,137,226,239,265,242,236,536,1,2740
,,,,,,,,,,,,,,,
,2018,23,258,226,158,117,111,170,209,250,233,191,438,0,2384
Ciclomotores *,,,,,,,,,,,,,,,
,18-17,-2,-56,-40,13,9,-26,-56,-30,-15,-9,-45,-98,-1,-356
,,,,,,,,,,,,,,,
,2017,27,593,552,848,700,653,637,486,353,253,164,191,3,5460
,,,,,,,,,,,,,,,
,2018,36,620,680,934,742,651,652,489,362,243,137,178,1,5725
Motociclos *,,,,,,,,,,,,,,,
,18-17,9,27,128,86,42,-2,15,3,9,-10,-27,-13,-2,265
,,,,,,,,,,,,,,,
,2017,11,18,27,25,35,19,33,37,43,35,39,216,0,538
,,,,,,,,,,,,,,,
,2018,13,28,39,22,26,21,27,37,37,24,42,155,3,474
Outros *,,,,,,,,,,,,,,,
,18-17,2,10,12,-3,-9,2,-6,0,-6,-11,3,-61,3,-64
,,,,,,,,,,,,,,,
,2017,0,1,0,0,0,0,0,0,1,0,0,0,0,2
,,,,,,,,,,,,,,,
,2018,0,0,0,2,0,0,0,0,0,0,0,1,0,3
N.D.,,,,,,,,,,,,,,,
,18-17,0,-1,0,2,0,0,0,0,-1,0,0,1,0,1
,,,,,,,,,,,,,,,
TOTAL,2017,2340,3059,4432,3846,3314,3287,3666,3318,2952,2709,2276,6566,11,41776
,2018,2358,2984,4596,3947,3254,3266,3393,3224,2923,2641,2236,6505,8,41335
,18-17,18,-75,164,101,-60,-21,-273,-94,-29,-68,-40,-61,-3,-441
