,,VÍTIMAS MORTAIS,,,,,,,,,,,,
,,<=14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,>=65,TOTAL
,2017,1,2,5,3,5,3,7,8,4,10,11,71,130
,,,,,,,,,,,,,,
,2018,1,3,5,3,1,4,4,8,17,14,10,86,156
Peões,,,,,,,,,,,,,,
,18-17,0,1,0,0,-4,1,-3,0,13,4,-1,15,26
,,,,,,,,,,,,,,
,2017,2,7,23,18,17,21,17,14,27,18,24,72,260
,,,,,,,,,,,,,,
,2018,5,4,36,26,18,16,24,14,15,20,24,92,294
Veíc. Ligeiros *,,,,,,,,,,,,,,
,18-17,3,-3,13,8,1,-5,7,0,-12,2,0,20,34
,,,,,,,,,,,,,,
,2017,0,0,0,0,1,0,0,1,2,2,0,0,6
,,,,,,,,,,,,,,
,2018,0,1,0,0,1,0,1,4,1,0,3,0,11
Veíc. Pesados *,,,,,,,,,,,,,,
,18-17,0,1,0,0,0,0,1,3,-1,-2,3,0,5
,,,,,,,,,,,,,,
,2017,0,1,0,0,2,2,2,2,4,0,5,7,25
,,,,,,,,,,,,,,
,2018,0,2,1,0,2,0,3,2,2,3,2,7,24
Velocípedes *,,,,,,,,,,,,,,
,18-17,0,1,1,0,0,-2,1,0,-2,3,-3,0,-1
,,,,,,,,,,,,,,
,2017,0,4,0,1,0,0,2,4,9,4,4,15,43
,,,,,,,,,,,,,,
,2018,0,2,1,2,1,0,1,3,6,5,6,13,40
Ciclomotores *,,,,,,,,,,,,,,
,18-17,0,-2,1,1,1,0,-1,-1,-3,1,2,-2,-3
,,,,,,,,,,,,,,
,2017,0,3,7,11,17,20,13,18,5,5,7,0,106
,,,,,,,,,,,,,,
,2018,0,6,9,5,18,19,16,18,4,3,3,4,105
Motociclos *,,,,,,,,,,,,,,
,18-17,0,3,2,-6,1,-1,3,0,-1,-2,-4,4,-1
,,,,,,,,,,,,,,
,2017,0,0,0,1,0,2,0,0,4,1,7,17,32
,,,,,,,,,,,,,,
,2018,0,1,2,0,1,2,1,6,3,1,4,24,45
Outros *,,,,,,,,,,,,,,
,18-17,0,1,2,-1,1,0,1,6,-1,0,-3,7,13
,,,,,,,,,,,,,,
TOTAL,2017,3,17,35,34,42,48,41,47,55,40,58,182,602
,2018,6,19,54,36,42,41,50,55,48,46,52,226,675
,18-17,3,2,19,2,0,-7,9,8,-7,6,-6,44,73
