,,,,,,,,
,FERIDOS GRAVES,,,,,,,
,,,,,,,,
,,,,,,,,
,Feminino,,Masculino,,N.D.,,TOTAL,
,,,,,,,,
,,,,,,,,
,2017,2018,2017,2018,2017,2018,2017,2018
,,,,,,,,
<=14,0,1,8,10,0,0,8,11
15-19,8,5,63,55,0,0,71,60
20-24,22,25,120,99,0,0,142,124
25-29,24,28,88,106,0,0,112,134
30-34,16,12,98,92,0,0,114,104
35-39,19,10,118,88,0,0,137,98
40-44,20,9,122,108,0,0,142,117
45-49,19,22,100,105,0,0,119,127
50-54,16,12,93,107,0,0,109,119
55-59,14,23,79,81,0,0,93,104
60-64,11,13,69,59,0,0,80,72
65-69,10,12,57,36,0,0,67,48
70-74,9,5,51,44,0,0,60,49
>=75,4,5,75,60,0,0,79,65
N.D.,0,0,0,1,0,0,0,1
TOTAL,192,182,1141,1051,0,0,1333,1233
