,,,,,,,,
,FERIDOS LEVES,,,,,,,
,,,,,,,,
,,,,,,,,
,Feminino,,Masculino,,N.D.,,TOTAL,
,,,,,,,,
,,,,,,,,
,2017,2018,2017,2018,2017,2018,2017,2018
,,,,,,,,
<=5,37,55,72,73,0,0,109,128
6-9,56,42,91,85,0,0,147,127
10-14,157,153,164,161,0,0,321,314
15-19,243,241,174,186,0,0,417,427
20-24,175,197,116,151,0,0,291,348
25-29,145,129,107,87,0,0,252,216
30-34,120,110,63,63,0,0,183,173
35-39,111,122,86,85,0,0,197,207
40-44,151,150,119,110,0,0,270,260
45-49,194,187,128,117,0,0,322,304
50-54,195,198,137,140,0,0,332,338
55-59,226,217,150,141,0,0,376,358
60-64,222,211,141,157,0,0,363,368
65-69,208,211,159,154,0,0,367,365
70-74,216,212,130,157,0,0,346,369
>=75,494,447,339,359,0,0,833,806
N.D.,0,0,2,0,0,0,2,0
TOTAL,2950,2882,2178,2226,0,0,5128,5108
