,Vítimas,,Feridos,,Feridos,,Total de,
,mortais,,graves,,leves,,vítimas,
,,,,,,,,
,2017,2018,2017,2018,2017,2018,2017,2018
,,,,,,,,
Jan,33,33,89,69,1951,1911,2073,2013
Fev,27,31,63,67,1667,1783,1757,1881
Mar,18,23,103,84,1968,2044,2089,2151
Abr,26,29,124,89,1947,1891,2097,2009
Mai,49,28,118,111,2183,2166,2350,2305
Jun,40,26,117,97,2342,2298,2499,2421
Jul,43,46,152,129,2597,2351,2792,2526
Ago,42,56,130,139,2534,2476,2706,2671
Set,31,50,121,156,2267,2410,2419,2616
Out,30,44,113,118,2489,2498,2632,2660
Nov,24,29,98,75,2223,2122,2345,2226
Dez,35,40,105,99,2314,2231,2454,2370
TOTAL,398,435,1333,1233,26482,26181,28213,27849
