,,,Acidentes,,Vítimas,,Feridos,,Feridos,,Total de,,Índice de,
,,,c/ vítimas,,mortais,,graves,,leves,,vítimas,,gravidade,
,,,,,,,,,,,,,,
,,,2017,2018,2017,2018,2017,2018,2017,2018,2017,2018,2017,2018
,,,,,,,,,,,,,,
,,Jan,1535,1471,41,40,115,86,1856,1822,2012,1948,"2,7","2,7"
,,Fev,1235,1383,31,34,79,84,1517,1702,1627,1820,"2,5","2,5"
,,Mar,1447,1594,26,34,123,96,1767,1976,1916,2106,"1,8","2,1"
,,Abr,1476,1439,31,31,158,83,1741,1806,1930,1920,"2,1","2,2"
,,Mai,1633,1598,56,43,130,139,1987,1925,2173,2107,"3,4","2,7"
,,Jun,1783,1678,45,38,134,115,2238,2106,2417,2259,"2,5","2,3"
,,Jul,2001,1794,53,56,171,156,2509,2180,2733,2392,"2,6","3,1"
,,Ago,2144,2063,46,69,179,187,2931,2602,3156,2858,"2,1","3,3"
GNR,,Set,1693,1877,46,55,138,178,2071,2282,2255,2515,"2,7","2,9"
,,Out,1838,1829,45,47,122,133,2259,2242,2426,2422,"2,4","2,6"
,,Nov,1655,1654,34,42,108,101,2001,2005,2143,2148,"2,1","2,5"
,,Dez,1824,1794,48,59,128,129,2336,2210,2512,2398,"2,6","3,3"
,,Total,20264,20174,502,548,1585,1487,25213,24858,27300,26893,"2,5","2,7"
,,Jan,1112,1101,7,10,31,33,1317,1279,1355,1322,"0,6","0,9"
,,Fev,969,1006,7,10,28,33,1135,1180,1170,1223,"0,7","1,0"
,,Mar,1099,1106,5,6,40,40,1275,1310,1320,1356,"0,5","0,5"
,,Abr,1040,1010,6,10,34,58,1228,1159,1268,1227,"0,6","1,0"
,,Mai,1198,1179,8,8,46,37,1401,1400,1455,1445,"0,7","0,7"
,,Jun,1197,1190,11,8,48,43,1366,1424,1425,1475,"0,9","0,7"
,,Jul,1217,1199,7,9,51,36,1486,1400,1544,1445,"0,6","0,8"
,,Ago,1104,1090,14,8,37,33,1306,1313,1357,1354,"1,3","0,7"
PSP,,Set,1262,1240,10,18,48,48,1447,1450,1505,1516,"0,8","1,5"
,,Out,1370,1467,3,20,55,49,1640,1686,1698,1755,"0,2","1,4"
,,Nov,1325,1231,11,7,52,45,1515,1417,1578,1469,"0,8","0,6"
,,Dez,1259,1242,11,13,62,53,1447,1459,1520,1525,"0,9","1,0"
,,Total,14152,14061,100,127,532,508,16563,16477,17195,17112,"0,7","0,9"
T,OTAL,,34416,34235,602,675,2117,1995,41776,41335,44495,44005,"1,7","2,0"
