,Acidentes,,Vítimas,,Feridos,,Feridos,,Total de,,Índice de,
,c/ vítimas,,mortais,,graves,,leves,,vítimas,,gravidade,
,,,,,,,,,,,,
,2017,2018,2017,2018,2017,2018,2017,2018,2017,2018,2017,2018
,,,,,,,,,,,,
2ª feira,4913,5239,72,106,261,283,5952,6281,6285,6670,"1,5","2,0"
3ª feira,4982,4697,92,66,294,248,5844,5561,6230,5875,"1,8","1,4"
4ª feira,5015,5067,66,88,265,278,5951,5951,6282,6317,"1,3","1,7"
5ª feira,5008,4970,75,86,257,235,5975,5910,6307,6231,"1,5","1,7"
6ª feira,5578,5480,96,89,329,311,6775,6539,7200,6939,"1,7","1,6"
Sábado,4755,4627,106,122,369,310,5917,5713,6392,6145,"2,2","2,6"
Domingo,4165,4155,95,118,342,330,5362,5380,5799,5828,"2,3","2,8"
TOTAL,34416,34235,602,675,2117,1995,41776,41335,44495,44005,"1,7","2,0"
