,,,,,,,,
,VÍTIMAS MORTAIS,,,,,,,
,,,,,,,,
,,,,,,,,
,Feminino,,Masculino,,N.D.,,TOTAL,
,,,,,,,,
,,,,,,,,
,2017,2018,2017,2018,2017,2018,2017,2018
,,,,,,,,
6-9,0,0,1,0,0,0,1,0
10-14,0,1,0,0,0,0,0,1
15-19,1,1,1,2,0,0,2,3
20-24,2,0,3,5,0,0,5,5
25-29,2,0,1,3,0,0,3,3
30-34,0,0,5,1,0,0,5,1
35-39,0,0,3,4,0,0,3,4
40-44,1,1,6,3,0,0,7,4
45-49,2,2,6,6,0,0,8,8
50-54,1,7,3,10,0,0,4,17
55-59,0,2,10,12,0,0,10,14
60-64,6,3,5,7,0,0,11,10
65-69,7,3,9,8,0,0,16,11
70-74,6,6,6,6,0,0,12,12
>=75,26,32,17,31,0,0,43,63
TOTAL,54,58,76,98,0,0,130,156
