,Acidentes,,Vítimas,,Feridos,,Feridos,,Total de,,Índice de,
,c/ vítimas,,mortais,,graves,,leves,,vítimas,,gravidade,
,,,,,,,,,,,,
,2017,2018,2017,2018,2017,2018,2017,2018,2017,2018,2017,2018
,,,,,,,,,,,,
Dia,25153,24722,377,429,1409,1312,30498,29840,32284,31581,"1,5","1,7"
Noite,8113,8607,202,223,638,631,9830,10420,10670,11274,"2,5","2,6"
Aurora/Crepúsculo,1116,906,23,23,70,52,1411,1075,1504,1150,"2,1","2,5"
N.D.,34,0,0,0,0,0,37,0,37,0,"0,0",0
TOTAL,34416,34235,602,675,2117,1995,41776,41335,44495,44005,"1,7","2,0"
