,,Acidentes,,Vítimas,,Feridos,,Feridos,,Total de,,Índice de,
,,c/ vítimas,,mortais,,graves,,leves,,vítimas,,gravidade,
,,,,,,,,,,,,,
,,2017,2018,2017,2018,2017,2018,2017,2018,2017,2018,2017,2018
,,,,,,,,,,,,,
,Arruamento,20802,21268,190,249,924,940,24074,24538,25188,25727,"0,9","1,2"
,Autoestrada,0,1,0,0,0,0,0,1,0,1,0,"0,0"
,Estrada Municipal,1162,797,18,15,88,60,1401,957,1507,1032,"1,5","1,9"
,Estrada Nacional,3981,3637,97,77,230,216,5148,4665,5475,4958,"2,4","2,1"
,IP/IC,289,262,5,5,10,10,369,340,384,355,"1,7","1,9"
,,,,,,,,,,,,,
Dentro das localidades,Outra Via *,576,548,18,9,38,22,674,647,730,678,"3,1","1,6"
,TOTAL,26810,26513,328,355,1290,1248,31666,31148,33284,32751,"1,2","1,3"
,Autoestrada,1921,2155,51,57,124,120,2814,3082,2989,3259,"2,7","2,6"
,Estrada Municipal,1076,968,27,42,133,101,1299,1156,1459,1299,"2,5","4,3"
,,,,,,,,,,,,,
,Estrada Nacional,3106,2937,121,150,415,372,4019,3761,4555,4283,"3,9","5,1"
,,,,,,,,,,,,,
,IP/IC,902,1036,41,55,96,92,1271,1467,1408,1614,"4,5","5,3"
Fora das localidades,Outra Via *,601,626,34,16,59,62,707,721,800,799,"5,7","2,6"
,TOTAL,760 6,772 2,274,320,827,747,1011 0,1018 7,1121 1,1125 4,"3,6","4,1"
,,Acidentes,,Vítimas,,Feridos,,Feridos,,Total de,,Índice de,
,,c/ vítimas,,mortais,,graves,,leves,,vítimas,,gravidade,
,,,,,,,,,,,,,
,,2017,2018,2017,2018,2017,2018,2017,2018,2017,2018,2017,2018
,,,,,,,,,,,,,
,Arruamento,20802,21268,190,249,924,940,24074,24538,25188,25727,"0,9","1,2"
,Autoestrada,1921,2156,51,57,124,120,2814,3083,2989,3260,"2,7","2,6"
,Estrada Municipal,2238,1765,45,57,221,161,2700,2113,2966,2331,"2,0","3,2"
,Estrada Nacional,7087,6574,218,227,645,588,9167,8426,10030,9241,"3,1","3,5"
,IP/IC,1191,1298,46,60,106,102,1640,1807,1792,1969,"3,9","4,6"
,,,,,,,,,,,,,
TOTAL,Outra Via *,1177,1174,52,25,97,84,1381,1368,1530,1477,"4,4","2,1"
,TOTAL,34416,34235,602,675,2117,1995,41776,41335,44495,44005,"1,7","2,0"
