,<=14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,>=65
População,1335327,521201,507280,514435,542762,649075,759725,737425,712828,693521,639697,2166550
VM/Milhão hab.,4,36,106,70,77,63,66,75,67,66,81,104
